date,year,month,period,electric_power_bcfd,industrial_bcfd,residential_bcfd,commercial_bcfd,total_bcfd,electric_power_share_pct,industrial_share_pct,residential_cents_kwh,commercial_cents_kwh,industrial_cents_kwh,gas_share_pct,coal_share_pct,nuclear_share_pct,renewable_share_pct,gas_rigs,oil_rigs,total_rigs,ercot_wholesale_mwh,caiso_wholesale_mwh,henry_hub_mmbtu,net_exports_bcfd,lng_exports_bcfd,is_net_exporter
2019-12-01,2019,12,2019-12,28.6304443328731,29.519392494037906,23.61657462030877,14.334661729634742,99.5224990586168,28.76781090073947,29.6610241636432,12.68,10.32,6.38,38.95930126018647,21.448103641826417,21.59374091746812,15.240793552945334,695,1002,1697,,,,4.786301369863014,4.983561643835617,True
2020-01-01,2020,1,2020-01,29.7769235596837,29.8072047194678,25.884429521777328,15.362934605246643,104.48795029496674,28.497949740256388,28.526930268344667,12.76,10.18,6.37,39.75899381711921,19.05505928565936,21.696533966277805,16.696829498204675,123,676,799,16.961451612903225,,2.1,6.632876712328767,6.545205479452055,True
2020-02-01,2020,2,2020-02,29.955856701999195,29.536730175768145,24.72662015295854,14.98091372601637,102.79981215617872,29.139991672833727,28.73228029920369,12.82,10.3,6.44,40.01599990543405,17.5876851196486,20.626052435120894,18.94537442550068,110,679,789,17.713031609195404,,1.98,6.632876712328767,6.545205479452055,True
2020-03-01,2020,3,2020-03,27.952303250910003,27.51242625831555,16.532007028994602,10.617139450232209,85.60257938998367,32.653575920377804,32.13971641318879,13.04,10.34,6.39,40.66863331545219,16.386564622074015,20.67181994241597,19.21673010444793,106,664,770,23.053230148048453,,1.86,6.632876712328767,6.545205479452055,True
2020-04-01,2020,4,2020-04,25.220622568093383,25.73375486381323,12.259014267185472,7.701848249027237,73.47367055771724,34.32606861294799,35.024457970420954,13.24,10.37,6.39,39.4518070352813,14.548510982394305,21.163647276483587,21.770728226552716,89,504,593,19.90341666666667,,1.81,6.632876712328767,6.545205479452055,True
2020-05-01,2020,5,2020-05,26.26798041922932,24.17308899209238,7.424093134178486,5.09134555039538,65.23534580143091,40.26648452080887,37.05520173936467,13.1,10.4,6.54,38.39315002444157,15.275003051587776,21.122586480346435,22.32717716343437,79,292,371,18.23282258064516,,1.82,6.632876712328767,6.545205479452055,True
2020-06-01,2020,6,2020-06,33.75813878080415,24.423670557717248,4.413975356679638,4.262224383916991,69.27581063553825,48.7300523387688,35.255697961025355,13.22,10.89,6.94,40.607080469963854,18.559804080890263,19.10619804549017,19.29403634622068,68,189,257,18.948444444444444,,1.69,6.632876712328767,6.545205479452055,True
2020-07-01,2020,7,2020-07,42.23035647044056,24.839117610141837,3.707198443579767,4.03988326848249,77.52733149240618,54.471572357133226,32.0391752585665,13.21,10.84,7.16,44.257003413566906,21.90377729641878,16.941388814065014,14.70297414442448,68,180,248,22.98913978494624,,1.83,6.632876712328767,6.545205479452055,True
2020-08-01,2020,8,2020-08,40.04167189657337,25.31712062256809,3.4149303376427764,4.105340780720472,75.51835697251163,53.02243520889679,33.524459002442846,13.26,10.9,7.07,43.5346702525944,22.88477464423494,17.320036010048455,13.967147090731991,72,183,255,39.18420698924731,,2.39,6.632876712328767,6.545205479452055,True
2020-09-01,2020,9,2020-09,32.94121271076524,25.880577172503244,4.102885862516213,4.6466926070038905,70.01342412451362,47.0498523999937,36.96516417548238,13.49,11.02,7.0,42.35867847743358,20.526659693420505,19.722649600048527,14.882494025643748,74,183,257,18.97958333333333,,1.99,6.632876712328767,6.545205479452055,True
2020-10-01,2020,10,2020-10,29.756903476841973,26.46250156897201,7.5874231203715325,6.534831178611774,72.88875988452365,40.82509226935031,36.30532555485382,13.66,10.72,6.72,41.85917908714622,19.07452127795684,18.9335069420363,17.452247566511563,73,211,284,23.3569623655914,,2.48,6.632876712328767,6.545205479452055,True
2020-11-01,2020,11,2020-11,25.034338521400777,27.838132295719845,14.262548638132296,9.497114137483788,79.40551232166018,31.52720483685101,35.058186115532656,13.31,10.53,6.49,36.400948918520605,20.30942726911705,20.5012248667997,19.84682083157392,74,231,305,23.7275866851595,,2.71,6.632876712328767,6.545205479452055,True
2020-12-01,2020,12,2020-12,27.766003514497303,29.541797414334127,25.092255554160914,14.211058114723231,100.11983808208862,27.73276909590271,29.506437465582696,12.78,10.41,6.41,37.080465576292255,22.82227964277568,20.29091634421416,17.02064168015968,83,263,346,20.891182795698924,,2.68,6.632876712328767,6.545205479452055,True
2021-01-01,2021,1,2021-01,27.11262081084473,29.80538471193674,28.09291452240492,15.57854273879754,104.65730513367642,25.90609492210256,28.47902941306103,12.62,10.27,6.32,36.23312732768545,23.263894684823185,20.541371322092093,17.2331282735068,88,287,375,21.54244623655914,,2.82,9.898630136986302,9.75890410958904,True
2021-02-01,2021,2,2021-02,27.25632295719845,28.43256670372429,30.428015564202333,17.23742356864925,107.54992356864923,25.3429496300857,26.43662195220041,13.01,11.36,7.75,34.32635894651017,27.00544215555289,19.436323419803987,16.419417871352216,92,306,398,1485.4915029761903,,5.56,9.898630136986302,9.75890410958904,True
2021-03-01,2021,3,2021-03,23.282917032760132,27.127023973892307,18.016944897703027,11.209175348311785,82.84492280657712,28.104217185548137,32.74434093834254,13.24,11.08,6.98,34.36725996972141,19.879417284889524,20.458829585486885,22.39000439540936,92,324,416,20.870699865410497,,2.72,9.898630136986302,9.75890410958904,True
2021-04-01,2021,4,2021-04,24.684857328145263,27.016147859922174,11.092963683527888,8.017963683527887,73.6583009079118,33.512661877724376,36.67766908402895,13.73,10.87,6.7,36.62235202621171,18.39572863082712,19.464874744852136,22.65139759139937,96,342,438,29.631083333333336,,2.76,9.898630136986302,9.75890410958904,True
2021-05-01,2021,5,2021-05,25.53715325718589,25.75837831053094,6.838678297979164,5.716047445713568,66.41207480858542,38.45257557573638,38.78568526095954,13.86,10.86,6.65,35.81593079046055,19.948943933059013,19.799464251986645,21.72291319551367,99,352,451,24.230470430107527,,3.02,9.898630136986302,9.75890410958904,True
2021-06-01,2021,6,2021-06,35.249221789883265,25.7905317769131,4.200940337224384,4.648540856031128,72.69880025940337,48.48666231644433,35.47586986977433,13.83,11.33,7.22,39.955320945871165,23.341738593251986,17.672657010147113,16.67013767335243,99,372,471,42.22570833333333,,3.39,9.898630136986302,9.75890410958904,True
2021-07-01,2021,7,2021-07,38.86167942763901,26.044872599472825,3.542079829295845,4.4819568218902965,75.86262081084475,51.22638660815109,34.33162777807651,13.83,11.46,7.42,41.957410086236266,25.032176107883657,16.96930596375336,13.807055908438834,101,387,488,41.477647849462365,,3.99,9.898630136986302,9.75890410958904,True
2021-08-01,2021,8,2021-08,39.61117735659596,26.119273252165183,3.3400903727877496,4.423591063135434,76.44866323584787,51.81408762425777,34.16576843415292,13.92,11.52,7.54,41.83355392694048,24.67020845817243,16.826655230384127,14.379065921551728,102,397,499,41.35739247311828,,4.23,9.898630136986302,9.75890410958904,True
