region,category,level,parent,display_name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
asia_pacific,gen_other_clean_hydrogen,4,gen_other_clean,Hydrogen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
asia_pacific,gen_renewables,3,generation,Renewables,173.50,187.70,207.70,221.30,247.50,247.10,240.20,326.40,438.70,462.10,458.20
asia_pacific,gen_renewables_other,4,gen_renewables,Other renewables,35.80,39.00,45.80,53.30,56.60,56.60,54.20,49.60,46.60,45.80,47.20
asia_pacific,gen_renewables_solar,4,gen_renewables,Solar,81.70,107.30,109.80,101.90,99.10,94.60,108.30,184.00,267.90,277.60,265.10
asia_pacific,gen_renewables_wind,4,gen_renewables,Wind,56.00,41.40,52.10,66.10,91.80,95.90,77.60,92.80,124.20,138.70,145.80
asia_pacific,gen_waste_nonrenewable,3,generation,Waste: non-renewable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.60,1.00,1.30
asia_pacific,generation,2,power,Generation,300.90,306.30,316.60,323.70,344.50,336.30,335.10,430.60,555.90,596.80,590.40
asia_pacific,memo_oil_gas_upstream,0,,Memo: Oil & gas upstream,148.20,102.50,86.00,93.60,102.30,90.10,91.20,93.00,95.60,97.30,97.60
asia_pacific,memo_transitional_fossil,0,,Memo: Transitional fossil fuels,0.10,0.10,0.10,0.20,0.20,0.20,0.10,0.30,0.40,0.80,1.50
asia_pacific,other_end_use,2,end_use,Other end-use,62.00,80.70,87.40,75.30,58.10,63.00,87.40,121.30,113.70,112.20,128.80
asia_pacific,other_end_use_buildings,3,other_end_use,Other end-use: Buildings,24.20,26.50,28.40,29.90,29.80,28.50,26.60,25.40,24.70,25.90,27.80
asia_pacific,other_end_use_industry,3,other_end_use,Other end-use: Industry,1.60,1.90,5.90,4.30,1.10,0.70,1.80,1.90,2.50,5.50,9.50
asia_pacific,other_end_use_renewables,2,end_use,Other end-use renewables,31.59,31.80,33.75,35.60,37.25,37.35,43.32,48.05,48.67,49.39,
asia_pacific,other_end_use_transport,3,other_end_use,Other end-use: Transport,36.20,52.30,53.20,41.10,27.20,33.70,58.90,94.10,86.50,80.70,91.40
asia_pacific,power,1,,Power,453.80,468.00,471.70,475.30,478.70,462.20,460.80,569.60,700.50,766.50,769.60
asia_pacific,supply_by_type,1,,Supply (by type),756.05,722.67,718.36,729.13,806.67,788.36,801.29,899.29,968.22,,
asia_pacific,supply_electricity_networks,1,,Supply: Electricity networks,161.55,171.24,163.70,158.32,143.24,132.47,132.47,148.63,147.55,,
asia_pacific,supply_fossil_no_ccus,2,supply_by_type,Supply: Fossil fuels (no CCUS),414.64,354.33,331.72,329.56,360.79,323.10,339.25,353.26,366.18,,
asia_pacific,supply_other,1,,Supply: Other,13.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.14,,
asia_pacific,supply_renewables,1,,Supply: Renewables,166.94,231.55,256.33,271.40,330.64,354.33,347.87,401.72,445.88,,
asia_pacific,total,0,,Total,955.10,935.90,939.70,937.60,933.70,890.00,927.20,1095.20,1235.90,1318.60,1361.60
central_south_america,battery_storage,2,power,Battery storage,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.40,0.40
central_south_america,clean_energy,1,total,of which: Clean energy,48.50,47.40,41.90,41.40,40.70,43.50,47.10,50.40,61.30,56.20,59.00
