scenario,variable,unit,category,geography,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
nze,gdp_growth_rate,fraction (annual),macro,,,0.034367,0.033225,0.032157,0.031155,0.030214,0.029328,0.028492,0.027703,0.026956,0.026248,0.025577,0.027304,0.026578,0.02589,0.025236,0.024615,0.02508,0.024467,0.023883,0.023325,0.022794,0.022286,0.0218,0.021335,0.020889,0.020462
nze,gdp_real,$ trillion (real 2024 USD),macro,world,196.3459,203.093745,209.841591,216.589436,223.337282,230.085127,236.832973,243.580818,250.328664,257.076509,263.824355,270.5722,277.9598,285.3474,292.735,300.1226,307.5102,315.2227,322.9352,330.6477,338.3602,346.0727,353.7852,361.4977,369.2102,376.9227,384.6352
nze,generation_biomass,TWh,electricity,world,760.12,854.829091,949.538182,1044.247273,1138.956364,1233.665455,1328.374545,1423.083636,1517.792727,1612.501818,1707.210909,1801.92,1904.602,2007.284,2109.966,2212.648,2315.33,2375.469,2435.608,2495.747,2555.886,2616.025,2676.164,2736.303,2796.442,2856.581,2916.72
nze,generation_coal,TWh,electricity,us,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4
nze,generation_hydro,TWh,electricity,world,4447.86,4572.82,4697.78,4822.74,4947.7,5072.66,5197.62,5322.58,5447.54,5572.5,5697.46,5822.42,5959.13,6095.84,6232.55,6369.26,6505.97,6595.19,6684.41,6773.63,6862.85,6952.07,7041.29,7130.51,7219.73,7308.95,7398.17
nze,generation_hydrogen_ammonia,TWh,electricity,world,0.0,46.696364,93.392727,140.089091,186.785455,233.481818,280.178182,326.874545,373.570909,420.267273,466.963636,513.66,560.814,607.968,655.122,702.276,749.43,758.358,767.286,776.214,785.142,794.07,802.998,811.926,820.854,829.782,838.71
nze,generation_natural_gas,TWh,electricity,us,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37
nze,generation_nuclear,TWh,electricity,us,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49
nze,generation_solar,TWh,electricity,us,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77
nze,generation_total,TWh,electricity,us,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0
