Date,Cross-border transport costs from Belgium to Germany (EUR/MWH),Belgian ZTP hub price  (EUR/MWH),ZTP sourcing costs into Germany  (EUR/MWH),German THE hub price  (EUR/MWH),NWE LNG price  (EUR/MWH),LNG to THE transport costs  (EUR/MWH),LNG into Germany  (EUR/MWH)
0/22/22,39.64,168.85,208.49,246.45,206.56,2.30,208.86
0/6/22,1.55,69.00,70.55,75.70,67.70,2.30,70.00
0/23/22,48.81,210.07,258.89,282.80,201.05,2.30,203.35
0/7/22,0.73,75.95,76.68,77.30,65.52,2.30,67.81
0/24/22,46.81,193.65,240.46,265.62,224.52,2.30,226.82
0/8/22,0.73,77.00,77.73,77.70,64.61,2.30,66.91
0/25/22,52.38,224.12,276.51,295.80,234.96,2.30,237.26
0/9/22,0.73,75.00,75.73,75.30,74.99,2.30,77.29
0/26/22,54.71,235.18,289.89,312.88,253.88,2.30,256.18
0/10/22,0.73,82.55,83.28,83.05,71.60,2.30,73.90
0/27/22,54.71,239.75,294.46,316.07,253.88,2.30,256.18
0/11/22,0.73,77.25,77.98,79.20,71.60,2.30,73.90
0/28/22,32.43,239.75,272.18,316.07,253.88,2.30,256.18
0/12/22,0.78,77.25,78.03,79.20,71.60,2.30,73.90
0/29/22,29.72,239.75,269.47,316.07,253.88,2.30,256.18
0/13/22,1.04,77.55,78.59,79.30,72.99,2.30,75.29
0/30/22,51.75,239.95,291.70,316.07,204.61,2.30,206.91
0/14/22,3.73,73.35,77.08,80.97,84.60,2.30,86.90
0/31/22,58.92,172.47,231.40,239.80,182.68,2.30,184.98
0/15/22,4.77,86.03,90.80,95.50,107.36,2.30,109.66
0/1/22,67.59,156.55,224.14,236.32,188.00,2.30,190.30
0/16/22,10.95,96.70,107.65,109.70,112.40,2.30,114.70
0/2/22,77.80,160.38,238.17,234.38,141.98,2.30,144.28
0/17/22,2.40,101.00,103.40,116.92,108.64,2.30,110.94
0/3/22,81.88,96.05,177.93,193.47,141.98,2.30,144.28
0/4/22,66.96,96.05,163.01,193.47,141.98,2.30,144.28
0/18/22,0.74,102.00,102.74,106.15,108.64,2.30,110.94
0/5/22,105.67,99.00,204.67,192.47,164.91,2.30,167.21
0/19/22,0.80,102.00,102.80,106.15,108.64,2.30,110.94
0/6/22,106.01,105.00,211.01,218.15,175.04,2.30,177.34
0/20/22,5.26,99.00,104.26,107.08,113.27,2.30,115.57
0/7/22,106.71,110.00,216.71,229.75,149.63,2.30,151.93
0/21/22,5.76,107.00,112.76,118.08,113.24,2.30,115.54
0/8/22,8.21,100.20,108.41,209.03,161.93,2.30,164.23
0/22/22,8.23,115.00,123.23,123.60,115.36,2.30,117.66
0/9/22,2.73,201.97,204.71,206.32,135.90,2.30,138.20
0/10/22,0.91,190.00,190.91,192.10,135.90,2.30,138.20
0/11/22,0.72,190.00,190.72,192.10,135.90,2.30,138.20
0/12/22,1.74,187.00,188.74,190.65,134.33,2.30,136.63
0/13/22,0.45,188.32,188.77,190.25,144.81,2.30,147.11
0/23/22,10.51,113.50,124.01,125.45,121.37,2.30,123.67
0/14/22,3.21,196.82,200.04,198.97,163.02,2.30,165.32
0/24/22,10.38,118.50,128.88,128.60,117.63,2.30,119.93
0/15/22,40.76,216.03,256.78,219.70,152.81,2.30,155.11
0/25/22,11.95,114.50,126.45,126.22,117.63,2.30,119.93
0/16/22,65.88,156.25,222.13,197.65,146.52,2.30,148.82
0/26/22,11.75,114.50,126.25,126.22,117.63,2.30,119.93
0/17/22,34.51,134.82,169.33,174.28,146.52,2.30,148.82
0/27/22,8.80,114.17,122.98,126.30,117.75,2.30,120.05
0/18/22,40.71,134.82,175.54,174.28,146.52,2.30,148.82
0/28/22,11.18,114.38,125.56,129.25,116.21,2.30,118.51
0/19/22,45.76,134.82,180.58,174.28,146.52,2.30,148.82
0/29/22,9.29,123.00,132.29,130.30,123.71,2.30,126.01
0/20/22,47.18,130.32,177.50,169.78,146.10,2.30,148.40
0/30/22,14.46,129.20,143.66,139.40,125.22,2.30,127.53
0/21/22,57.13,118.00,175.13,176.53,133.00,2.30,135.30
0/1/22,24.42,117.72,142.15,145.00,125.74,2.30,128.04
0/22/22,58.50,108.20,166.70,172.00,133.22,2.30,135.52
0/2/22,22.13,118.50,140.63,145.80,125.74,2.30,128.04
0/3/22,22.01,118.50,140.51,145.80,125.74,2.30,128.04
0/4/22,25.71,118.20,143.91,146.00,139.00,2.30,141.29
0/5/22,25.08,134.65,159.73,162.50,137.84,2.30,140.14
0/23/22,63.63,105.00,168.63,170.00,124.26,2.30,126.56
0/6/22,24.84,136.90,161.74,159.82,145.73,2.30,148.03
0/24/22,63.62,86.50,150.12,169.50,124.26,2.30,126.56
0/7/22,28.77,146.00,174.77,174.80,151.92,2.30,154.22
0/25/22,77.80,86.50,164.30,169.50,124.26,2.30,126.56
0/8/22,28.77,154.18,182.94,186.20,136.40,2.30,138.70
0/26/22,81.84,83.50,165.34,171.10,117.37,2.30,119.67
0/9/22,23.72,126.00,149.72,167.75,136.40,2.30,138.70
0/27/22,96.84,76.03,172.86,169.53,142.06,2.30,144.35
0/10/22,25.92,126.00,151.92,167.75,136.40,2.30,138.70
0/28/22,95.71,61.00,156.71,204.35,144.82,2.30,147.12
0/11/22,31.13,130.00,161.13,169.25,130.64,2.30,132.94
0/12/22,5.92,129.15,135.07,162.45,143.01,2.30,145.31
0/29/22,101.13,97.00,198.13,197.53,123.85,2.30,126.15
0/13/22,10.76,166.50,177.26,173.90,149.74,2.30,152.04
0/30/22,75.88,78.50,154.38,179.30,99.77,2.30,102.06
0/14/22,48.21,156.50,204.71,182.12,140.88,2.30,143.18
0/1/22,65.71,69.00,134.71,159.65,99.77,2.30,102.06
0/15/22,52.01,114.97,166.98,170.12,118.93,2.30,121.23
0/2/22,36.13,69.00,105.13,159.65,99.77,2.30,102.06
0/16/22,69.26,86.00,155.26,158.93,118.93,2.30,121.23
0/3/22,51.42,67.50,118.92,159.20,65.94,2.30,68.24
0/17/22,61.86,86.00,147.86,158.93,118.93,2.30,121.23
0/4/22,2.80,94.50,97.30,127.33,85.48,2.30,87.78
0/18/22,51.71,89.97,141.69,154.50,118.54,2.30,120.84
0/5/22,4.34,76.53,80.86,85.50,96.55,2.30,98.85
0/19/22,42.67,102.00,144.67,155.20,116.54,2.30,118.84
0/6/22,44.46,90.00,134.46,102.10,96.11,2.30,98.41
0/20/22,31.22,108.95,140.17,151.60,117.18,2.30,119.48
0/7/22,27.51,63.02,90.53,131.12,78.33,2.30,80.64
0/8/22,0.88,64.15,65.03,91.15,78.33,2.30,80.64
0/21/22,22.01,116.35,138.36,154.30,127.88,2.30,130.18
0/9/22,12.84,64.15,76.99,91.15,78.33,2.30,80.64
0/10/22,20.76,63.48,84.23,100.40,81.64,2.30,83.94
0/11/22,22.86,64.50,87.36,110.00,78.87,2.30,81.17
0/12/22,28.34,63.30,91.64,102.00,82.57,2.30,84.87
0/13/22,30.30,72.38,102.67,103.70,73.19,2.30,75.49
0/14/22,10.59,57.50,68.09,85.85,69.56,2.30,71.86
0/15/22,17.38,49.40,66.78,61.08,69.56,2.30,71.86
0/16/22,27.88,49.40,77.28,61.08,69.56,2.30,71.86
0/17/22,22.36,50.88,73.24,66.90,98.37,2.30,100.67
0/18/22,46.21,28.50,74.71,65.20,90.19,2.30,92.49
0/19/22,44.46,7.50,51.96,70.10,87.12,2.30,89.42
0/3/23,1.13,55.02,56.15,56.50,53.12,2.30,55.42
0/20/22,19.71,27.00,46.71,66.20,103.68,2.30,105.98
0/4/23,1.13,59.30,60.43,60.00,53.12,2.30,55.42
0/21/22,9.56,37.65,47.21,56.50,100.51,2.30,102.81
0/22/22,2.83,23.50,26.33,33.30,100.51,2.30,102.81
0/5/23,1.13,59.30,60.43,60.00,53.12,2.30,55.42
0/23/22,4.05,23.50,27.55,33.30,100.51,2.30,102.81
0/6/23,1.13,59.65,60.78,60.20,51.70,2.30,54.01
0/24/22,8.70,28.77,37.47,39.52,98.03,2.30,100.33
0/7/23,1.13,59.40,60.53,60.02,48.92,2.30,51.22
